code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200067767,,,CC du Royans-Vercors,CC,18,10117
200067783,,,CC de Hanau-la Petite Pierre,CC,38,27601
200067791,,,CA Pays Foix-Varilhes,CA,42,33082
200067817,,,CC Saône-Beaujolais,CC,42,44679
200067825,,,CA Gap-Tallard-Durance,CA,17,52241
200067841,,,CC de l'Alsace Bossue,CC,45,25334
200067866,,,CC Sèvre et Loire,CC,11,47573
200067874,,,CA de Haguenau,CA,36,96959
200067882,,,CC Bazois Loire Morvan,CC,46,16118
200067890,,,CC Morvan Sommets et Grands Lacs,CC,34,13347
200067908,,,CC Amognes Coeur du Nivernais,CC,28,9001
200067916,,,"CC Loire, Vignobles et Nohain",CC,30,26928
200067924,,,CC du Canton d'Erstein,CC,28,48539
200067932,,,CA Golfe du Morbihan - Vannes Agglomération,CA,34,171295
200067940,,,CC Couserans-Pyrénées,CC,94,30779
200067957,,,CC Haut Chemin-Pays de Pange,CC,28,19634
200067965,,,CA de la Région de Compiègne et de la Basse Automne,CA,22,84703
200067973,,,CC Thelloise,CC,41,62189
200067981,,,CA Guingamp-Paimpol Armor-Argoat Agglomération,CA,57,76453
200067999,,,CA du Beauvaisis,CA,53,103168
200068005,,,CC de l'Oise Picarde,CC,52,21919
200068047,,,CA Creil Sud Oise,CA,11,87313
200068070,,,CC Loue-Lison,CC,75,25726
200068088,,,"CC Loire, Nièvre et Bertranges",CC,32,20891
200068096,,,CC Champsaur-Valgaudemar,CC,25,11479
200068104,,,CA de la Provence Verte,CA,28,98671
200068112,,,CC du Pays de Saverne,CC,35,36461
200068120,,,CA Quimper Bretagne Occidentale,CA,14,105123
200068146,,,CC Sarrebourg Moselle Sud,CC,76,46927
200068229,,,CC des Baronnies en Drôme Provençale,CC,67,21756
200068278,,,CC Berry Loire Puisaye,CC,20,19227
200068294,,,CC des Deux Vallées Vertes,CC,55,16644
200068369,,,CC de Mirecourt Dompaire,CC,76,20189
200068377,,,CC de la Porte des Vosges Méridionales,CC,10,30735
200068435,,,CC Coeur du Perche,CC,12,11918
200068443,,,CC Andaine - Passais,CC,12,13695
200068450,,,CC Argentan Intercom,CC,49,35234
200068468,,,CC des Pays de l'Aigle,CC,32,26794
200068484,,,CC des Causses à l'Aubrac,CC,17,15053
200068500,,,CA de Cambrai,CA,55,83828
200068534,,,CC Terroir de Caux,CC,81,38581
200068542,,,CC Les Balcons du Dauphiné,CC,47,76702
200068559,,,CC de l'Ouest Vosgien,CC,70,24336
200068567,,,CC Les Vals du Dauphiné,CC,37,63194
200068625,,,"CC Alpes-Provence-Verdon ""sources de Lumière""",CC,41,11469
200068641,,,CA Le Muretain Agglo,CA,26,120998
200068658,,,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",CA,63,47473
200068666,,,CA de Saint-Dizier Der et Blaise,CA,60,61076
200068674,,,CA Grand Lac - CA du Lac du Bourget,CA,28,75438
200068682,,,CC Terre d'Eau,CC,45,18893
200068757,,,CA d'Épinal,CA,78,116020
200068765,,,CC du Sisteronais-Buëch,CC,60,25397
200068773,,,CC des Vosges Côté Sud Ouest,CC,60,12737
200068781,,,CA Valence Romans Agglo,CA,56,225262
200068799,,,CC Intercom de la Vire au Noireau,CC,17,49760
200068807,,,CC Lèze Ariège,CC,19,31457
200068815,,,CC Coeur de Garonne,CC,48,35094
200068831,,,CC Pays Ségali,CC,23,18599
200068856,,,CC des Hauts du Perche,CC,10,8618
200068864,,,CC de la Mossig et du Vignoble,CC,24,24847
200068872,,,CC Éguzon - Argenton - Vallée de la Creuse,CC,21,20439
200068880,,,CC Champagne Boischauts,CC,30,10281
200068914,,,CC La Rochefoucauld - Porte du Périgord,CC,29,22427
200068922,,,CC du Confluent et des Coteaux de Prayssas,CC,29,18764
200068930,,,CC Fumel Vallée du Lot,CC,27,25055
200068948,,,CC Albret Communauté,CC,33,27449
200068955,,,CC Anjou Loir et Sarthe,CC,18,27978
200068963,,,CC Maine Coeur de Sarthe,CC,13,21545
